epoch,split,week,tow,time_gps_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,ref_sys_id,cb_m,cd_mps,inter_gnss_m,ibb_m,used_obs,rejected_obs,pdop,r_inflation,gt_lat_deg,gt_lon_deg,gt_h_m,pred_lat_deg,pred_lon_deg,pred_h_m,enu_e_m,enu_n_m,enu_u_m,enu_3d_m,init_ok
45,train,2206,379387.005091536,1334568187.00509,-2399704.710671393,5383203.509156057,2429711.081560419,0.0,0.0,0.0,0,-14943.26372627916,0.0,2:-1028.966777;3:0.000000;6:-7610.204273,,0,13,2.227720409346216,1.0,22.5395182006498,114.026170201966,5.40324698076014,22.539598764632355,114.02618149449164,8.905747724696994,1.1616291458456174,8.921476617018568,3.502494365357215,9.654511591988802,1
46,train,2206,379387.505092494,1334568187.50509,-2399704.710671393,5383203.509156057,2429711.081560419,0.0,0.0,0.0,0,-14943.26372627916,0.0,2:-1028.966777;3:0.000000;6:-7610.204273,,0,13,2.2278658231255193,1.0,22.5395181971686,114.02617004609,5.4262156860957,22.539598764632355,114.02618149449164,8.905747724696994,1.1776636538651242,8.921862117957005,3.479525657932316,9.648503207113553,1
47,train,2206,379388.005093452,1334568188.00509,-2399704.710671393,5383203.509156057,2429711.081560419,0.0,0.0,0.0,0,-14943.26372627916,0.0,2:-1028.966777;3:0.000000;6:-7610.204273,,0,13,2.228011255272418,1.0,22.539518200801,114.026169896609,5.44491643724175,22.539598764632355,114.02618149449164,8.905747724696994,1.1930403273020078,8.921459875199533,3.4608249044205404,9.643293034354063,1
48,train,2206,379388.505094409,1334568188.50509,-2399704.710671393,5383203.509156057,2429711.081560419,0.0,0.0,0.0,0,-14943.26372627916,0.0,2:-1028.966777;3:0.000000;6:-7610.204273,,0,14,1.8089287712777389,1.0,22.5395182055654,114.026169798333,5.45443613003808,22.539598764632355,114.02618149449164,8.905747724696994,1.2031496936271144,8.920932277752792,3.4513052095532517,9.640648813177258,1
49,train,2206,379389.005095364,1334568189.0051,-2399704.710671393,5383203.509156057,2429711.081560419,0.0,0.0,0.0,0,-14943.26372627916,0.0,2:-1028.966777;3:0.000000;6:-7610.204273,,0,14,1.8089659877365514,1.0,22.5395182038515,114.026169699939,5.46497112539133,22.539598764632355,114.02618149449164,8.905747724696994,1.2132711969466743,8.921122071776393,3.4407702132695706,9.6383269127686,1
50,train,2206,379389.505096321,1334568189.5051,-2399704.710671393,5383203.509156057,2429711.081560419,0.0,0.0,0.0,0,-14943.26372627916,0.0,2:-1028.966777;3:0.000000;6:-7610.204273,,0,14,1.8090032030572332,1.0,22.5395182037019,114.026169596544,5.47242371442265,22.539598764632355,114.02618149449164,8.905747724696994,1.2239071394366967,8.921138639193892,3.433317621392618,9.637029272293793,1
51,train,2206,379390.005097278,1334568190.0051,-2399704.710671393,5383203.509156057,2429711.081560419,0.0,0.0,0.0,0,-14943.26372627916,0.0,2:-1028.966777;3:0.000000;6:-7610.204273,,0,14,1.80904041724167,1.0,22.5395182013917,114.026169495486,5.47598215044248,22.539598764632355,114.02618149449164,8.905747724696994,1.2343026798983474,8.921394465953714,3.4297591841081747,9.637324856189512,1
52,train,2206,379390.505098237,1334568190.5051,-2399704.710671393,5383203.509156057,2429711.081560419,0.0,0.0,0.0,0,-14943.26372627916,0.0,2:-1028.966777;3:0.000000;6:-7610.204273,,0,14,1.8090776302919434,1.0,22.5395181480187,114.02616924577,5.47843859907406,22.539598764632355,114.02618149449164,8.905747724696994,1.2599902355484591,8.92730487584496,3.427302720551895,9.645245029457007,1
53,train,2206,379391.005099188,1334568191.0051,-2399704.710671393,5383203.509156057,2429711.081560419,0.0,0.0,0.0,0,-14943.26372627916,0.0,2:-1028.966777;3:0.000000;6:-7610.204273,,0,14,1.8091148422094339,1.0,22.5395181031133,114.026168997866,5.47873300410311,22.539598764632355,114.02618149449164,8.905747724696994,1.2854913970322888,8.932277602057933,3.427008304571043,9.653106091391969,1
54,train,2206,379391.505100122,1334568191.5051,-2399704.710671393,5383203.509156057,2429711.081560419,0.0,0.0,0.0,0,-14943.26372627916,0.0,2:-1028.966777;3:0.000000;6:-7610.204273,,0,14,1.8091520529954488,1.0,22.5395180584987,114.026168899571,5.48329369559912,22.539598764632355,114.02618149449164,8.905747724696994,1.295602716229909,8.937218124643515,3.422447603393179,9.657411754902583,1
55,train,2206,379392.005101142,1334568192.0051,-2399704.710671393,5383203.509156057,2429711.081560419,0.0,0.0,0.0,0,-14943.26372627916,0.0,2:-1028.966777;3:0.000000;6:-7610.204273,,0,14,1.8091892626597987,1.0,22.539518004155,114.026168798273,5.48680692877157,22.539598764632355,114.02618149449164,8.905747724696994,1.3060229452541372,8.943236026360186,3.418934359697027,9.663140209716195,1
56,train,2206,379393.000103014,1334568193.0001,-2399704.710671393,5383203.509156057,2429711.081560419,0.0,0.0,0.0,0,-14943.26372627916,0.0,2:-1028.966777;3:0.000000;6:-7610.204273,,0,15,1.7799906528034646,1.0,22.5395178040812,114.026168798709,5.47782872344971,22.539598764632355,114.02618149449164,8.905747724696994,1.305978095911142,8.96539175499765,3.4279125328120745,9.686816424408468,1
57,train,2206,379394.000104928,1334568194.0001,-2399704.710671393,5383203.509156057,2429711.081560419,0.0,0.0,0.0,0,-14943.26372627916,0.0,2:-1028.966777;3:0.000000;6:-7610.204273,,0,15,1.780065850339646,1.0,22.5395176006535,114.026168699865,5.48254038291526,22.539598764632355,114.02618149449164,8.905747724696994,1.3161458899775873,8.987918887299536,3.4232008411253556,9.707380178352034,1
58,train,2206,379395.000106856,1334568195.00011,-2399704.710671393,5383203.509156057,2429711.081560419,0.0,0.0,0.0,0,-14943.26372627916,0.0,2:-1028.966777;3:0.000000;6:-7610.204273,,0,15,1.7801410360965382,1.0,22.5395174998415,114.026168699758,5.48857051228409,22.539598764632355,114.02618149449164,8.905747724696994,1.3161568967976571,8.99908258470043,3.4171706946564595,9.715596322391411,1
59,train,2206,379396.000108788,1334568196.00011,-2399704.710671393,5383203.509156057,2429711.081560419,0.0,0.0,0.0,0,-14943.26372627916,0.0,2:-1028.966777;3:0.000000;6:-7610.204273,,0,15,1.7802162100880925,1.0,22.5395173020785,114.026168898945,5.40046616593472,22.539598764632355,114.02618149449164,8.905747724696994,1.2956671109815112,9.020982417778882,3.505275014286205,9.764416519697122,1
60,train,2206,379397.000110714,1334568197.00011,-2399705.0909497933,5383203.01722291,2429711.655274853,0.0,0.0,0.0,0,-14943.598176935513,0.0,2:-1028.927601;3:-18260.733762;6:-7609.830210,,1,16,1.7178240315738378,1.0,22.539517405182,114.026169099094,5.32860729253647,22.539604569080876,114.02618681809456,8.853679040446877,1.8227017657411206,9.652336685975408,3.5250641461164474,10.436279148264395,1
61,train,2206,379398.000112638,1334568198.00011,-2399705.0909497933,5383203.01722291,2429711.655274853,0.0,0.0,0.0,0,-14943.598176935513,0.0,2:-1028.927601;3:-18260.733762;6:-7609.830210,,0,16,1.7178663279567836,1.0,22.5395173967138,114.02616940012,5.23173276864789,22.539604569080876,114.02618681809456,8.853679040446877,1.7917361030734278,9.653274431679383,3.621938676866622,10.46491592395056,1
62,train,2206,379399.000114559,1334568199.00011,-2399705.0909497933,5383203.01722291,2429711.655274853,0.0,0.0,0.0,0,-14943.598176935513,0.0,2:-1028.927601;3:-18260.733762;6:-7609.830210,,0,16,1.717908616585219,1.0,22.5395169981346,114.026169798921,5.11112043226544,22.539604569080876,114.02618681809456,8.853679040446877,1.7507126091590424,9.697412202300297,3.742550958584869,10.540943304030986,1
63,train,2206,379400.000116477,1334568200.00012,-2399705.0909497933,5383203.01722291,2429711.655274853,0.0,0.0,0.0,0,-14943.598176935513,0.0,2:-1028.927601;3:-18260.733762;6:-7609.830210,,0,17,1.675274126783804,1.0,22.5395170026307,114.026169803947,5.10209447085057,22.539604569080876,114.02618681809456,8.853679040446877,1.7501956005925101,9.696914314774418,3.7515769204417677,10.543607601689363,1
64,train,2206,379401.000118394,1334568201.00012,-2399705.0909497933,5383203.01722291,2429711.655274853,0.0,0.0,0.0,0,-14943.598176935513,0.0,2:-1028.927601;3:-18260.733762;6:-7609.830210,,0,17,1.6752768902133042,1.0,22.5395168951685,114.026169697506,5.08120217422242,22.539604569080876,114.02618681809456,8.853679040446877,1.7611448737134512,9.708814441481923,3.772469194919794,10.563817158203465,1
65,train,2206,379402.00012031,1334568202.00012,-2399705.0909497933,5383203.01722291,2429711.655274853,0.0,0.0,0.0,0,-14943.598176935513,0.0,2:-1028.927601;3:-18260.733762;6:-7609.830210,,0,17,1.6752796008511852,1.0,22.5395165031503,114.026170002922,5.02144787959368,22.539604569080876,114.02618681809456,8.853679040446877,1.72972762376037,9.752225662284085,3.8322234324412445,10.619971725793986,1
