epoch,week,tow,time_gps_s,gt_ecef_x_m,gt_ecef_y_m,gt_ecef_z_m,gt_lat_deg,gt_lon_deg,gt_h_m,gt_vel_x_mps,gt_vel_y_mps,gt_vel_z_mps,speed_mps,is_static
61,2206,379398.000112638,1334568198.00011,-2399703.59899834,5383204.07099627,2429701.35099867,22.5395173967138,114.02616940012,5.23173276864789,0.0147511580052929,-0.033159045997193,-0.0118471866059226,0.0381768886162378,1
62,2206,379399.000114559,1334568199.00011,-2399703.59799943,5383203.96799873,2429701.26399917,22.5395169981346,114.026169798921,5.11112043226544,0.00495164503880784,-0.0111099180669727,-0.0072108901041498,0.0141402264529011,1
63,2206,379400.000116477,1334568200.00012,-2399703.59499962,5383203.95999971,2429701.26099919,22.5395170026307,114.026169803947,5.10209447085057,0.00331162834363197,-0.00250082592239297,-0.00692730329050701,0.00807518070752157,1
64,2206,379401.000118394,1334568201.00012,-2399703.57899964,5383203.95099949,2429701.24199962,22.5395168951685,114.026169697506,5.08120217422242,0.00300161560743223,-0.00433277522216053,-0.00326543585542631,0.00620046036246122,1
65,2206,379402.00012031,1334568202.00012,-2399703.59199932,5383203.90299818,2429701.17899933,22.5395165031503,114.026170002922,5.02144787959368,0.00563260325249611,-0.0151079752611428,-0.00562336515492757,0.0170762809638687,1
66,2206,379403.000122225,1334568203.00012,-2399703.59199984,5383203.87699905,2429701.13300001,22.5395162016883,114.026170105833,4.98188290679292,0.00128213748499186,-0.00780377402485933,5.37196503711086e-05,0.00790858086905144,1
67,2206,379404.000124141,1334568204.00012,-2399703.58100042,5383203.82800094,2429701.08800043,22.5395159967815,114.026170202106,4.9191628119695,-0.00338233293437786,0.00753222250025797,0.00343576354679234,0.00894309918438998,1
68,2206,379405.000126055,1334568205.00013,-2399703.58200062,5383203.75600138,2429701.07300063,22.5395160978995,114.026170495965,4.85305088499422,-0.00489447283091797,0.0109044484053903,0.00496828383261314,0.0129439832957177,1
69,2206,379406.00012797,1334568206.00013,-2399703.59400042,5383203.681,2429701.05900091,22.5395162013468,114.026170899372,4.788926443184,-0.00330448065518344,1.33634762813359e-05,0.00707300602957429,0.00780686782758451,1
70,2206,379407.000129885,1334568207.00013,-2399703.59300047,5383203.62899946,2429701.06300072,22.5395164005223,114.026171096314,4.74621632684408,-0.00363383761098619,-0.00416096046436572,0.00553671249456691,0.0078213523777238,1
71,2206,379408.0001318,1334568208.00013,-2399703.59899966,5383203.59199891,2429701.06200067,22.5395165007076,114.026171296032,4.71687560017495,0.00258373216804268,-0.00827022344281559,0.00508331741824508,0.0100455156007499,1
72,2206,379409.000133716,1334568209.00013,-2399703.60800035,5383203.58600013,2429701.06100112,22.5395164986513,114.026171399693,4.71481666358351,-0.002611150557416,0.000950328176636485,0.00838464970190503,0.00883309580500853,1
73,2206,379410.000135631,1334568210.00014,-2399703.60700058,5383203.58500064,2429701.07300122,22.539516603308,114.026171394772,4.71819741544187,-0.00426938072405557,0.00468891329302711,0.00900779112344313,0.011016071012845,1
74,2206,379411.000137546,1334568211.00014,-2399703.60299991,5383203.60099946,2429701.10200127,22.5395168002412,114.026171295925,4.74130576189896,0.000649007227640273,-0.0039107252237273,0.00923623785145521,0.0100510234208104,1
75,2206,379412.000139463,1334568212.00014,-2399703.6020006,5383203.59700067,2429701.11200156,22.5395168977004,114.02617130288,4.74138993594005,-0.00432932505232004,0.00480346952060152,0.0112156524463997,0.0129463212783565,1
76,2206,379413.000141378,1334568213.00014,-2399703.5929997,5383203.57799933,2429701.11500138,22.539516995481,114.026171298169,4.72312561137672,0.00209640185337679,-0.00472146878700454,0.0097472202087098,0.0110315669800161,1
77,2206,379414.000143291,1334568214.00014,-2399703.59000112,5383203.54600111,2429701.09100169,22.539516900702,114.026171398195,4.68580493205709,-0.00780675121767974,0.00771594528991091,0.0117957256899759,0.0161127378444757,1
78,2206,379415.000145205,1334568215.00015,-2399703.57500079,5383203.53700142,2429701.06100177,22.5395167000801,114.026171300628,4.66107234691826,-0.00544393515237247,0.00978138483848166,0.0121777599829608,0.016541153451447,1
79,2206,379416.00014712,1334568216.00015,-2399703.56000076,5383203.52900098,2429701.03100209,22.5395164963006,114.026171199109,4.63718291892672,-0.00514457509582349,0.00665392815501458,0.0141795944207363,0.0164864280772167,1
80,2206,379417.000149047,1334568217.00015,-2399703.55400092,5383203.54100206,2429700.99900157,22.5395161999114,114.026171098335,4.63278422757071,-0.00613131241051164,0.0138226634209419,0.0105064905016102,0.0184131843683912,1
81,2206,379418.000150984,1334568218.00015,-2399703.54700175,5383203.60100355,2429700.91300229,22.5395153027915,114.0261707987,4.64780371045439,-0.0115529228728615,0.0235315851311374,0.0151001864113948,0.0302526222888054,1
82,2206,379419.000152912,1334568219.00015,-2399703.53800133,5383203.65700261,2429700.82500253,22.5395144044613,114.026170497137,4.65792737003195,-0.00867870436276352,0.0170841524651851,0.0165066608369486,0.0252914615405278,1
83,2206,379420.000154838,1334568220.00015,-2399703.53200028,5383203.71900026,2429700.75100199,22.5395135997,114.026170198464,4.6796055117249,-0.00182157048744454,0.00167931135449318,0.0128096281804067,0.0130470218742182,1
84,2206,379421.000156752,1334568221.00016,-2399703.52700082,5383203.75900183,2429700.72900252,22.5395132967887,114.026169995745,4.70303764878945,-0.00519828250864004,0.011706936585192,0.0160669061413879,0.0205479920723537,1
85,2206,379422.00015867,1334568222.00016,-2399703.52100054,5383203.79500161,2429700.67000172,22.5395126993279,114.026169799979,4.70853416583059,-0.00341529740817204,0.0101428596074273,0.0108314090893473,0.0152269918323693,1
86,2206,379423.00016059,1334568223.00016,-2399703.52600115,5383203.83200139,2429700.60100211,22.5395119998052,114.026169697932,4.71517845400394,-0.0071404028075141,0.00870164817197702,0.013100031978047,0.0172717940871318,1
87,2206,379424.000162508,1334568224.00016,-2399703.53899993,5383203.91100024,2429700.57300166,22.5395114981819,114.026169500667,4.77597642639715,0.000433998611932014,0.0015328004703275,0.0101595768009112,0.0102837168791545,1
88,2206,379425.00016442,1334568225.00016,-2399703.54400072,5383203.97300042,2429700.51300224,22.5395107946844,114.026169299668,4.8071608978485,-0.00439882576489316,0.00252967662677671,0.0135900366033555,0.0145064822347284,1
89,2206,379426.00016633,1334568226.00017,-2399703.54000107,5383203.98800159,2429700.5070024,22.5395107028515,114.02616920478,4.81601183888609,-0.00644153611362704,0.00954438973906018,0.014440277164916,0.0184691734410025,1
90,2206,379427.000168245,1334568227.00017,-2399703.54700006,5383204.00599971,2429700.5150019,22.5395107028047,114.026169195686,4.83689329315349,-0.000340930518065604,-0.00174168614927094,0.0112939599174355,0.011432551547111,1
