epoch,split,week,tow,time_gps_s,obs_count,obs_count_ls_gate,coarse_ok,coarse_iter,coarse_rx_x_m,coarse_rx_y_m,coarse_rx_z_m,coarse_cb_m,gt_lat_deg,gt_lon_deg,gt_h_m,speed_mps,is_static
121,train,2206,379458.000227674,1334568258.00023,21,20,1,2,-2399700.3148385305,5383202.777853016,2429705.8676208234,-68270.98659362027,22.5395097019559,114.026167600531,6.18397263123464,0.00638611070846536,1
122,train,2206,379459.000229589,1334568259.00023,21,21,1,2,-2399686.312246043,5383198.582791783,2429727.4193484434,-68832.87177251735,22.5395097982834,114.026167595615,6.18696903713846,0.00861725422517589,1
123,train,2206,379460.000231505,1334568260.00023,22,21,1,3,-2399707.491760775,5383200.732221357,2429733.1846942687,-69401.57278741116,22.5395099016431,114.026167598719,6.17765350385388,0.0122654630177273,1
124,train,2206,379461.000233424,1334568261.00023,22,22,1,2,-2399693.265103797,5383197.603285593,2429747.836987917,-69967.64931058195,22.5395098016543,114.026167798443,6.13911460089425,0.0153007018801338,1
125,train,2206,379462.000235338,1334568262.00024,22,22,1,2,-2399692.423385154,5383196.804896511,2429746.237139576,-70543.3714531122,22.5395097984253,114.026167804436,6.1321500613624,0.0117173112112382,1
126,train,2206,379463.000237252,1334568263.00024,22,22,1,2,-2399693.2878023293,5383197.974838438,2429747.562265631,-71116.2215085519,22.5395097979497,114.026167802612,6.11662333368924,0.00804129180031164,1
127,train,2206,379464.000239168,1334568264.00024,22,22,1,2,-2399692.4725243445,5383197.1240130775,2429746.577963237,-71691.5889608371,22.539509599724,114.026167804646,6.10168763778742,0.00785586708799985,1
128,train,2206,379465.000241085,1334568265.00024,22,22,1,2,-2399693.288886744,5383197.733181353,2429747.496674587,-72264.7342866787,22.5395095043322,114.026167798871,6.082792951696,0.0093730914911749,1
129,train,2206,379466.000243002,1334568266.00024,22,22,1,2,-2399693.0737194405,5383196.474043147,2429745.8577851737,-72840.39821314538,22.5395092973089,114.026167703336,6.05194115206766,0.00884643456970151,1
130,train,2206,379467.000244915,1334568267.00024,23,23,1,2,-2399692.284295543,5383194.127153511,2429739.7589708543,-73419.01006890868,22.5395093037006,114.026167596476,6.07893420766544,0.0113907733655544,1
131,train,2206,379468.00024683,1334568268.00025,23,22,1,2,-2399706.0651040752,5383198.604728381,2429730.6387314503,-73997.34501400833,22.539508995566,114.026167598286,6.08027875744335,0.0230009882786529,1
